Name,Date,Area(ha),Product,Rate,N(kg/ha),P(kg/ha),K(kg/ha),S(kg/ha),Ca(kg/ha),Mg(kg/ha)
,4/11/2019,9.5,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,22/11/2019,5.4,Ag Lime,15,-,-,-,-,5,-
,31/12/2019,9,DAP,210,37,42,-,2,-,-
,20/08/2020,9.4,Ammo 31,119,36,-,-,16,-,-
,Area weighted total,,,,176,40,-,37,3,-
,28/09/2019,4.5,AmSulph Granular,142,29,-,-,34,-,-
,22/11/2019,2.7,Urea,30,14,-,-,-,-,-
,29/11/2019,4.5,DAP,32,6,6,-,-,-,-
,30/12/2019,4.4,Urea,30,14,-,-,-,-,-
,6/02/2020,4.1,Urea,36,17,-,-,-,-,-
,9/04/2020,4.3,Urea,96,44,-,-,-,-,-
,3/05/2020,4.6,Urea,86,40,-,-,-,-,-
,12/08/2020,4.5,Ammo 31,117,36,-,-,16,-,-
,13/08/2020,4.6,Scottys Fert Mix,426 kg/ha,25,28,95,87,-,-
,Area weighted total,,,,204,33,91,131,-,-
5A,11/04/2020,7.6,Magnesium Oxide,86,-,-,-,-,-,34
,13/08/2020,7.9,Scottys Fert Mix,496 kg/ha,29,33,110,101,-,-
,Area weighted total,,,,26,29,97,89,-,29
5G,11/10/2019,4.9,Urea,100,46,-,-,-,-,-
,29/11/2019,4.5,DAP,27,5,5,-,-,-,-
,31/12/2019,4.8,Urea,89,41,-,-,-,-,-
,6/02/2020,4.8,Urea,32,15,-,-,-,-,-
,5/03/2020,4.6,N - PROTECT,84,38,-,-,-,-,-
,9/04/2020,4.7,Urea,93,43,-,-,-,-,-
,20/08/2020,4.9,Ammo 31,114,35,-,-,16,-,-
,Area weighted total,,,,201,5,-,15,-,-
6,7/10/2019,3,AmSulph Granular,258,53,-,-,62,-,-
,4/11/2019,0,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,29/11/2019,2.8,DAP,26,5,5,-,-,-,-
,28/12/2019,3,DAP,30,5,6,-,-,-,-
,28/12/2019,3,DAP,30,5,6,-,-,-,-
,10/02/2020,3,Urea,33,15,-,-,-,-,-
,9/04/2020,3.1,Urea,97,45,-,-,-,-,-
,Area weighted total,,,,117,15,-,57,-,-
,27/10/2019,1.7,Urea,81,37,-,-,-,-,-
,2/12/2019,3.7,DAP,24,4,5,-,-,-,-
,28/01/2020,3.8,Urea,33,15,-,-,-,-,-
,27/03/2020,3.9,Urea,116,53,-,-,-,-,-
,23/06/2020,4,Urea,103,47,-,-,-,-,-
,13/08/2020,3.9,Scottys Fert Mix,451 kg/ha,26,30,100,92,-,-
,Area weighted total,,,,157,33,97,89,-,-
6A,29/11/2019,1.1,DAP,26,5,5,-,-,-,-
,10/02/2020,1.1,Urea,32,15,-,-,-,-,-
,27/03/2020,1.3,Urea,101,46,-,-,-,-,-
,Area weighted total,,,,60,4,-,-,-,-
6B,28/09/2019,6.3,AmSulph Granular,136,28,-,-,33,-,-
,4/11/2019,0,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,5/11/2019,6.4,Urea,91,42,-,-,-,-,-
,2/12/2019,6.4,DAP,36,6,7,-,-,-,-
,31/12/2019,6.5,Urea,95,44,-,-,-,-,-
,15/01/2020,6.6,Urea,34,16,-,-,-,-,-
,10/02/2020,6.5,Urea,45,20,-,-,-,-,-
,27/03/2020,6.7,Urea,101,46,-,-,-,-,-
,9/04/2020,6.5,Urea,105,48,-,-,-,-,-
,23/06/2020,6.6,Urea,108,50,-,-,-,-,-
,14/08/2020,6.6,Ammo 31,122,37,-,-,17,-,-
,Area weighted total,,,,320,7,-,46,-,-
6C,5/03/2020,3.3,N - PROTECT,109,50,-,-,-,-,-
,3/05/2020,3.6,Urea,87,40,-,-,-,-,-
,Area weighted total,,,,84,-,-,-,-,-
6G,2/10/2019,4.2,Ammo 31,139,42,-,-,19,-,-
,5/11/2019,4.1,Urea,85,39,-,-,-,-,-
,29/11/2019,4.1,DAP,30,5,6,-,-,-,-
,31/12/2019,4.2,Urea,92,42,-,-,-,-,-
,6/02/2020,4.2,Urea,32,15,-,-,-,-,-
,5/03/2020,4.1,N - PROTECT,97,44,-,-,-,-,-
,Area weighted total,,,,177,6,-,19,-,-
7,2/10/2019,2.9,Ammo 31,128,39,-,-,18,-,-
,24/10/2019,11.3,Urea,106,49,-,-,-,-,-
,4/11/2019,11.5,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,26/11/2019,11.1,DAP,29,5,6,-,-,-,-
,Area weighted total,,,,78,6,-,5,-,-
7/08/2009,28/09/2019,5.3,AmSulph Granular,137,28,-,-,33,-,-
,11/04/2020,5.4,Magnesium Oxide,83,-,-,-,-,-,33
,23/06/2020,0.5,Urea,124,57,-,-,-,-,-
,12/08/2020,0.5,Ammo 31,91,28,-,-,13,-,-
,13/08/2020,1,Scottys Fert Mix,426 kg/ha,25,28,95,87,-,-
,20/08/2020,4.8,Ammo 31,134,41,-,-,18,-,-
,Area weighted total,,,,74,5,18,65,-,32
7A,4/11/2019,2.5,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,2/12/2019,2.7,Urea,141,65,-,-,-,-,-
,11/04/2020,2.7,Magnesium Oxide,83,-,-,-,-,-,33
,Area weighted total,,,,79,-,-,-,-,32
7B,19/12/2019,8.2,CROPMASTER DAP BULK,140 kg/ha,25,28,-,1,-,-
,5/03/2020,0.5,N - PROTECT,76,35,-,-,-,-,-
,9/04/2020,7,Urea,89,41,-,-,-,-,-
,3/05/2020,0.8,Urea,74,34,-,-,-,-,-
,Area weighted total,,,,64,28,-,1,-,-
7C,31/12/2019,0,AG LIME,1490,-,-,-,-,536,-
,5/03/2020,0,N - PROTECT,80,37,-,-,-,-,-
,11/04/2020,0.1,Magnesium Oxide,70,-,-,-,-,-,28
,Area weighted total,,,,-,-,-,-,1,1
7G,2/12/2019,5.8,Urea,123,56,-,-,-,-,-
,6/01/2020,5.6,Urea,137,63,-,-,-,-,-
,Area weighted total,,,,112,-,-,-,-,-
8,11/10/2019,9.5,Urea,98,45,-,-,-,-,-
,4/11/2019,9.5,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,29/11/2019,8.5,DAP,24,4,5,-,-,-,-
,Area weighted total,,,,64,4,-,-,-,-
8G,11/10/2019,8.3,Urea,101,46,-,-,-,-,-
,22/11/2019,8.3,Urea,32,14,-,-,-,-,-
,6/12/2019,4.2,DAP,325,57,65,-,3,-,-
,10/12/2019,4.3,DAP,31,5,6,-,-,-,-
,24/12/2019,3.9,DAP,1,-,-,-,-,-,-
,31/12/2019,4.4,Urea,90,41,-,-,-,-,-
,15/01/2020,4.4,Urea,32,15,-,-,-,-,-
,28/01/2020,3.9,Urea,33,15,-,-,-,-,-
,6/02/2020,4.3,Urea,32,15,-,-,-,-,-
,5/03/2020,4,N - PROTECT,106,49,-,-,-,-,-
,27/03/2020,8.4,Urea,95,44,-,-,-,-,-
,9/04/2020,4.5,Urea,100,46,-,-,-,-,-
,20/08/2020,4.4,Ammo 31,116,35,-,-,16,-,-
,26/08/2020,4,Ammo 31,154,47,-,-,21,-,-
,Area weighted total,,,,263,35,-,20,-,-
9,24/10/2019,9.6,Urea,95,44,-,-,-,-,-
,4/11/2019,9.8,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,9/12/2019,9.4,DAP,201,35,40,-,2,-,-
,14/08/2020,9.7,Ammo 31,113,34,-,-,16,-,-
,Area weighted total,,,,125,38,-,17,-,-
9G,11/10/2019,0.2,Urea,117,54,-,-,-,-,-
,22/11/2019,5,Urea,187,86,-,-,-,-,-
,6/12/2019,4.8,Urea,118,54,-,-,-,-,-
,18/12/2019,0.4,DAP,36,6,7,-,-,-,-
,5/03/2020,0.5,N - PROTECT,117,54,-,-,-,-,-
,9/04/2020,0.4,Urea,107,49,-,-,-,-,-
,11/04/2020,4.9,Magnesium Oxide,80,-,-,-,-,-,32
,3/05/2020,0.5,Urea,109,50,-,-,-,-,-
,12/08/2020,4.9,Ammo 31,116,35,-,-,16,-,-
,26/08/2020,0.4,Ammo 31,106,32,-,-,15,-,-
,Area weighted total,,,,178,1,-,15,-,29
Brians,11/04/2020,2.6,Magnesium Oxide,85,-,-,-,-,-,34
,13/08/2020,2.4,Scottys Fert Mix,525 kg/ha,31,35,117,107,-,-
,Area weighted total,,,,27,31,104,95,-,32
Brians Road,11/04/2020,1.4,Magnesium Oxide,79,-,-,-,-,-,31
,13/08/2020,1.3,Scottys Fert Mix,509 kg/ha,30,34,113,103,-,-
,Area weighted total,,,,25,29,96,88,-,28
Cattle Yards,12/08/2020,0,Ammo 31,100,30,-,-,14,-,-
,Area weighted total,,,,2,-,-,1,-,-
Christianson,11/04/2020,2.2,Magnesium Oxide,90,-,-,-,-,-,36
,13/08/2020,2.1,Scottys Fert Mix,450 kg/ha,26,30,100,91,-,-
,Area weighted total,,,,24,27,91,83,-,34
Creek,22/11/2019,2.5,Urea,34,15,-,-,-,-,-
,10/02/2020,1.9,Urea,33,15,-,-,-,-,-
,9/04/2020,2.4,Urea,99,46,-,-,-,-,-
,23/06/2020,2.6,Urea,87,40,-,-,-,-,-
,14/08/2020,2.4,Ammo 31,117,36,-,-,16,-,-
,Area weighted total,,,,129,-,-,13,-,-
g11a,2/10/2019,0.7,Ammo 31,162,49,-,-,22,-,-
,30/12/2019,0.7,Urea,35,16,-,-,-,-,-
,5/03/2020,0.8,N - PROTECT,115,53,-,-,-,-,-
,9/04/2020,1.4,Urea,98,45,-,-,-,-,-
,3/05/2020,1.4,Urea,88,41,-,-,-,-,-
,Area weighted total,,,,145,-,-,10,-,-
g9a,11/10/2019,0.5,Urea,141,65,-,-,-,-,-
,18/12/2019,1.2,DAP,33,6,7,-,-,-,-
,5/03/2020,1.5,N - PROTECT,103,47,-,-,-,-,-
,9/04/2020,1.4,Urea,108,50,-,-,-,-,-
,3/05/2020,1.5,Urea,111,51,-,-,-,-,-
,26/08/2020,1.2,Ammo 31,111,34,-,-,15,-,-
,Area weighted total,,,,190,5,-,12,-,-
Gil 1,22/11/2019,3.3,Urea,33,15,-,-,-,-,-
,31/12/2019,3.3,DAP,216,38,43,-,2,-,-
,6/02/2020,3,Urea,32,15,-,-,-,-,-
,9/04/2020,3.4,Urea,93,43,-,-,-,-,-
,12/08/2020,3.4,Ammo 31,114,35,-,-,16,-,-
,14/08/2020,0.1,Ammo 31,115,35,-,-,16,-,-
,Area weighted total,,,,134,39,-,17,-,-
Gil 2,16/10/2019,3,Urea,98,45,-,-,-,-,-
,22/11/2019,3.2,Urea,32,15,-,-,-,-,-
,10/02/2020,2.8,Urea,31,14,-,-,-,-,-
,27/03/2020,3.1,Urea,88,41,-,-,-,-,-
,23/06/2020,2.9,Urea,77,35,-,-,-,-,-
,14/08/2020,3.1,Ammo 31,109,33,-,-,15,-,-
,Area weighted total,,,,169,-,-,14,-,-
Gil 3,17/10/2019,3.7,AG LIME,2845,-,-,-,-,1024,-
,24/10/2019,4.2,Dolomite,3022,-,-,-,-,695,332
,6/12/2019,3.7,Urea,127,59,-,-,-,-,-
,9/01/2020,3.7,Urea,150,69,-,-,-,-,-
,27/03/2020,0.8,Urea,112,51,-,-,-,-,-
,14/08/2020,0.8,Ammo 31,123,37,-,-,17,-,-
,Area weighted total,,,,116,-,-,3,1423,297
Gil 4,22/11/2019,4.1,Urea,32,15,-,-,-,-,-
,17/12/2019,4.1,DAP,31,6,6,-,-,-,-
,6/02/2020,3.9,Urea,33,15,-,-,-,-,-
,27/03/2020,4.3,Urea,99,46,-,-,-,-,-
,23/06/2020,3.9,Urea,81,37,-,-,-,-,-
,14/08/2020,4.2,Ammo 31,112,34,-,-,15,-,-
,Area weighted total,,,,134,5,-,14,-,-
Kirk 1,17/12/2019,1.3,DAP,32,6,6,-,-,-,-
,28/01/2020,1.3,Urea,36,16,-,-,-,-,-
,5/03/2020,1.2,N - PROTECT,101,47,-,-,-,-,-
,9/04/2020,1.2,Urea,110,51,-,-,-,-,-
,12/04/2020,2.4,Magnesium Oxide,82,-,-,-,-,-,33
,12/08/2020,3.7,Ammo 31,119,36,-,-,16,-,-
,Area weighted total,,,,71,2,-,16,-,20
Kirk 2,11/10/2019,3.3,Urea,91,42,-,-,-,-,-
,22/11/2019,3.2,Urea,30,14,-,-,-,-,-
,31/12/2019,3.2,DAP,222,39,44,-,2,-,-
,6/02/2020,2.5,Urea,34,16,-,-,-,-,-
,5/03/2020,2.6,N - PROTECT,90,41,-,-,-,-,-
,3/05/2020,2.8,Urea,88,40,-,-,-,-,-
,14/08/2020,3.3,Ammo 31,118,36,-,-,16,-,-
,Area weighted total,,,,193,40,-,17,-,-
Kirk 3,5/11/2019,4.4,Urea,78,36,-,-,-,-,-
,17/12/2019,4.6,DAP,30,5,6,-,-,-,-
,15/01/2020,4.1,Urea,31,14,-,-,-,-,-
,5/03/2020,4.3,N - PROTECT,93,43,-,-,-,-,-
,12/04/2020,4.5,Magnesium Oxide,80,-,-,-,-,-,32
,14/08/2020,4.7,Ammo 31,112,34,-,-,15,-,-
,Area weighted total,,,,118,6,-,15,-,29
Kirk 4,22/11/2019,5.8,Urea,32,15,-,-,-,-,-
,6/02/2020,3.2,Urea,32,15,-,-,-,-,-
,9/04/2020,5.9,Urea,103,47,-,-,-,-,-
,12/04/2020,2.7,Magnesium Oxide,83,-,-,-,-,-,33
,23/06/2020,3.4,Urea,83,38,-,-,-,-,-
,14/08/2020,3.4,Ammo 31,115,35,-,-,16,-,-
,Area weighted total,,,,103,-,-,8,-,14
Main House and Sheds,29/11/2019,0.4,DAP,26,5,5,-,-,-,-
,10/02/2020,0.4,Urea,31,14,-,-,-,-,-
,27/03/2020,1.3,Urea,144,66,-,-,-,-,-
,Area weighted total,,,,26,1,-,-,-,-
N1,5/11/2019,1.7,Urea,83,38,-,-,-,-,-
,6/12/2019,1.8,Urea,177,82,-,-,-,-,-
,8/01/2020,1.7,Urea,94,43,-,-,-,-,-
,5/03/2020,1.8,N - PROTECT,181,83,-,-,-,-,-
,27/03/2020,1.7,Urea,101,46,-,-,-,-,-
,23/06/2020,1.7,Urea,160,74,-,-,-,-,-
,Area weighted total,,,,308,-,-,-,-,-
N10,6/12/2019,0.5,Urea,154,71,-,-,-,-,-
,27/03/2020,0.5,Urea,104,48,-,-,-,-,-
,3/05/2020,0.6,Urea,97,44,-,-,-,-,-
,Area weighted total,,,,128,-,-,-,-,-
N11,5/11/2019,0.5,Urea,92,42,-,-,-,-,-
,6/12/2019,0.4,Urea,140,64,-,-,-,-,-
,27/03/2020,0.5,Urea,92,42,-,-,-,-,-
,Area weighted total,,,,116,-,-,-,-,-
N2,6/12/2019,0.5,Urea,194,89,-,-,-,-,-
,8/01/2020,1.5,Urea,100,46,-,-,-,-,-
,5/03/2020,1.3,N - PROTECT,96,44,-,-,-,-,-
,3/05/2020,1.5,Urea,105,48,-,-,-,-,-
,Area weighted total,,,,152,-,-,-,-,-
N2A,8/01/2020,1.4,Urea,99,45,-,-,-,-,-
,5/03/2020,1.3,N - PROTECT,93,43,-,-,-,-,-
,3/05/2020,1.5,Urea,94,43,-,-,-,-,-
,Area weighted total,,,,116,-,-,-,-,-
N3,6/12/2019,0.6,Urea,127,58,-,-,-,-,-
,5/03/2020,2.5,N - PROTECT,95,44,-,-,-,-,-
,3/05/2020,1.2,Urea,88,41,-,-,-,-,-
,Area weighted total,,,,69,-,-,-,-,-
N4,29/09/2019,2.4,AG LIME,2115,-,-,-,-,761,-
,1/10/2019,2.3,Dolomite,3644,-,-,-,-,838,401
,6/12/2019,2.4,Urea,132,61,-,-,-,-,-
,9/01/2020,2.4,Urea,153,71,-,-,-,-,-
,Area weighted total,,,,129,-,-,-,1547,384
N4A,29/09/2019,1.5,AG LIME,2029,-,-,-,-,731,-
,1/10/2019,1.5,Dolomite,3533,-,-,-,-,813,389
,6/12/2019,1.5,Urea,127,58,-,-,-,-,-
,9/01/2020,1.5,Urea,150,69,-,-,-,-,-
,5/03/2020,0.1,N - PROTECT,82,38,-,-,-,-,-
,3/05/2020,0.1,Urea,72,33,-,-,-,-,-
,Area weighted total,,,,111,-,-,-,1282,321
N5,6/12/2019,0.2,Urea,63,29,-,-,-,-,-
,5/03/2020,0.3,N - PROTECT,127,58,-,-,-,-,-
,3/05/2020,1.4,Urea,224,103,-,-,-,-,-
,Area weighted total,,,,107,-,-,-,-,-
N6,5/11/2019,0.5,Urea,85,39,-,-,-,-,-
,6/12/2019,0.2,Urea,134,61,-,-,-,-,-
,27/03/2020,0.5,Urea,106,49,-,-,-,-,-
,Area weighted total,,,,91,-,-,-,-,-
N7,5/11/2019,0.5,Urea,86,39,-,-,-,-,-
,27/03/2020,0.6,Urea,105,48,-,-,-,-,-
,Area weighted total,,,,76,-,-,-,-,-
N8,27/03/2020,0.5,Urea,96,44,-,-,-,-,-
,Area weighted total,,,,38,-,-,-,-,-
N9,27/03/2020,0.6,Urea,89,41,-,-,-,-,-
,Area weighted total,,,,35,-,-,-,-,-
Nicks Yard,No data for period selected,,,,,,,,,
oak 1,5/11/2019,3.7,Urea,88,40,-,-,-,-,-
,5/03/2020,3.7,N - PROTECT,100,46,-,-,-,-,-
,9/04/2020,3.6,Urea,96,44,-,-,-,-,-
,23/06/2020,3.7,Urea,102,47,-,-,-,-,-
,Area weighted total,,,,172,-,-,-,-,-
oak 10,11/10/2019,4.9,Urea,100,46,-,-,-,-,-
,5/11/2019,5,Urea,86,39,-,-,-,-,-
,10/02/2020,4.6,Urea,34,16,-,-,-,-,-
,27/03/2020,5,Urea,122,56,-,-,-,-,-
,23/06/2020,5,Urea,104,48,-,-,-,-,-
,23/06/2020,4.8,Urea,95,44,-,-,-,-,-
,Area weighted total,,,,238,-,-,-,-,-
oak 11,11/10/2019,4.1,Urea,97,45,-,-,-,-,-
,5/11/2019,3.9,Urea,84,39,-,-,-,-,-
,18/12/2019,2.9,DAP,29,5,6,-,-,-,-
,28/01/2020,3.2,Urea,31,14,-,-,-,-,-
,10/02/2020,0.6,Urea,23,11,-,-,-,-,-
,27/03/2020,4.1,Urea,104,48,-,-,-,-,-
,9/04/2020,3.2,Urea,124,57,-,-,-,-,-
,23/06/2020,0.9,Urea,92,43,-,-,-,-,-
,23/06/2020,3.9,Urea,95,44,-,-,-,-,-
,Area weighted total,,,,211,4,-,-,-,-
oak 2,2/12/2019,3.3,Urea,126,58,-,-,-,-,-
,9/01/2020,3.3,Urea,147,68,-,-,-,-,-
,12/08/2020,2.4,Ammo 31,122,37,-,-,17,-,-
,Area weighted total,,,,142,-,-,11,-,-
oak 3,11/10/2019,2.1,Urea,106,49,-,-,-,-,-
,3/05/2020,2.4,Urea,94,43,-,-,-,-,-
,12/08/2020,2.1,Ammo 31,115,35,-,-,16,-,-
,Area weighted total,,,,113,-,-,14,-,-
oak 4,2/12/2019,2,Urea,142,65,-,-,-,-,-
,11/04/2020,2,Magnesium Oxide,92,-,-,-,-,-,37
,12/08/2020,2,Ammo 31,116,35,-,-,16,-,-
,Area weighted total,,,,96,-,-,15,-,35
oak 5,22/11/2019,3.6,Urea,32,15,-,-,-,-,-
,18/12/2019,3.4,DAP,32,6,6,-,-,-,-
,28/01/2020,3.5,Urea,30,14,-,-,-,-,-
,27/03/2020,3.6,Urea,90,41,-,-,-,-,-
,3/05/2020,3.5,Urea,80,37,-,-,-,-,-
,12/08/2020,3.5,Ammo 31,110,33,-,-,15,-,-
,Area weighted total,,,,135,6,-,14,-,-
oak 6,24/10/2019,3.9,Urea,104,48,-,-,-,-,-
,5/11/2019,3.7,Urea,81,37,-,-,-,-,-
,18/12/2019,1.6,DAP,32,6,6,-,-,-,-
,28/01/2020,3.8,Urea,32,15,-,-,-,-,-
,27/03/2020,3.9,Urea,96,44,-,-,-,-,-
,11/04/2020,4,Magnesium Oxide,77,-,-,-,-,-,31
,23/06/2020,4,Urea,76,35,-,-,-,-,-
,Area weighted total,,,,171,3,-,-,-,30
oak 8,11/10/2019,4.3,Urea,103,47,-,-,-,-,-
,5/11/2019,4.3,Urea,93,43,-,-,-,-,-
,18/12/2019,4,DAP,31,5,6,-,-,-,-
,28/01/2020,4.4,Urea,32,15,-,-,-,-,-
,27/03/2020,4.3,Urea,96,44,-,-,-,-,-
,3/05/2020,4.4,Urea,87,40,-,-,-,-,-
,12/08/2020,4.2,Ammo 31,121,37,-,-,17,-,-
,Area weighted total,,,,224,6,-,16,-,-
oak 9,2/12/2019,5,Urea,129,60,-,-,-,-,-
,9/01/2020,4.9,Urea,144,66,-,-,-,-,-
,Area weighted total,,,,109,-,-,-,-,-
oak7,2/12/2019,2.7,Urea,129,59,-,-,-,-,-
,11/04/2020,2.6,Magnesium Oxide,87,-,-,-,-,-,35
,12/08/2020,2.7,Ammo 31,114,35,-,-,16,-,-
,Area weighted total,,,,93,-,-,15,-,33
River Bed,11/04/2020,2.8,Magnesium Oxide,76,-,-,-,-,-,30
,13/08/2020,2.9,Scottys Fert Mix,446 kg/ha,26,30,99,91,-,-
,18/08/2020,2.8,Dolomite,2437,-,-,-,-,561,268
,Area weighted total,,,,24,28,92,85,512,272
s1,28/09/2019,4,AmSulph Granular,173,36,-,-,42,-,-
,22/11/2019,4,Urea,31,14,-,-,-,-,-
,2/12/2019,3.9,DAP,24,4,5,-,-,-,-
,28/01/2020,4,Urea,32,15,-,-,-,-,-
,27/03/2020,4.2,Urea,95,44,-,-,-,-,-
,3/05/2020,4.1,Urea,89,41,-,-,-,-,-
,12/08/2020,4.1,Ammo 31,120,36,-,-,17,-,-
,13/08/2020,4,Scottys Fert Mix,527 kg/ha,31,35,117,107,-,-
,Area weighted total,,,,201,36,105,149,-,-
s2,2/12/2019,4.1,Urea,122,56,-,-,-,-,-
,9/01/2020,4.1,Urea,149,68,-,-,-,-,-
,16/08/2020,4,Scottys Fert Mix,589 kg/ha,35,39,131,120,-,-
,Area weighted total,,,,156,37,124,113,-,-
s2A,11/04/2020,1.8,Magnesium Oxide,87,-,-,-,-,-,35
,12/08/2020,1.8,Ammo 31,126,38,-,-,17,-,-
,13/08/2020,1.8,Scottys Fert Mix,539 kg/ha,32,36,120,110,-,-
,Area weighted total,,,,64,33,110,116,-,31
Scottys Lucerne,13/08/2020,8.3,Scottys Fert Mix,490 kg/ha,29,33,109,100,-,-
,18/08/2020,8,Dolomite,2910,-,-,-,-,669,320
,Area weighted total,,,,28,31,104,95,619,296
South Scottys,11/04/2020,3.1,Magnesium Oxide,84,-,-,-,-,-,34
,13/08/2020,3,Scottys Fert Mix,508 kg/ha,30,34,113,103,-,-
,Area weighted total,,,,27,31,103,94,-,32
Terrace East,No data for period selected,,,,,,,,,
Weighted average rate based on applied areas and rates for selected areas,,,,,130,11,10,23,78,16
Note: Total and average rates assume product applications cover the effective area of the Paddocks selected.,,,,,,,,,,
This is dependent on positional accuracy of your Paddock boundaries.,,,,,,,,,,
* The product you have created is missing nutrient values. This will affect any averages or totals in the nutrient summary. Please go to the event concerned and add the nutrient values to the appropriate product.,,,,,,,,,,
